row_id,result
1,78
2,225
3,156
4,215
5,94
6,179
7,"267,189"
8,"51,209,6,130,13"
9,"207,76"
10,"115,184,266"
11,104
12,"185,240"
13,"197,125"
14,"101,1,81"
15,"34,269,281,160,10,125,184,191,248,35"
16,"217,34,281,160,10,125,184,191,248,35"
17,"263,215,170,112,276"
18,"128,37,45,91"
19,"57,256,53,179,49,28,196,62,51,220,162,246,104,106"
20,"54,103"
21,"241,168"
22,74
23,149
24,118
25,81
26,"34,205"
27,"115,21,92,243,17,187"
28,"62,4,205,243,17,145"
29,234
30,180
31,"166,221"
32,"34,206"
33,"57,242,258,241"
34,1
35,217
36,72
37,140
38,74
39,"247,73,145"
40,1
41,187
42,1
43,"207,123,275,37,59,265,64"
44,"61,281,169,88,184,142"
45,89
46,1
47,"21,173,166"
48,169
49,"271,108"
50,"218,183,50,176,146"
51,231
52,21
53,258
54,"52,132"
55,268
56,"114,272"
57,153
58,"196,87,71,106,44,258,216,55,155,14"
59,1
60,125
61,"218,182,267,207,131,62,40,30,171,215,210,111,110"
