row_id,result
1,78
2,225
3,156
4,215
5,94
6,179
7,"189,171,267"
8,"13,6,209,51,15,130"
9,"207,76"
10,"266,115"
11,104
12,"185,240"
13,125
14,"81,1,101"
15,"184,191,281,160,35,125"
16,"184,281,217,191,160,35,125"
17,"276,170,263,215,16,112,157"
18,"128,37,45,91"
19,1
20,"54,103"
21,"168,241"
22,74
23,149
24,118
25,1
26,205
27,"115,21,187,17,92,243"
28,"62,205,17,145,243"
29,234
30,"77,110,112,190,205,180"
31,"166,221"
32,"128,124,206"
33,1
34,272
35,"168,226,128,75,121,72,217,223,198,3,44,67,255,2,246,244,104,101,245,241"
36,"276,247"
37,140
38,188
39,"208,99,5,85,42,247"
40,"50,41,235,49,140,197"
41,"191,187"
42,"179,48"
43,"64,275,37,123,207,59,265"
44,"61,142,184,281,169"
45,89
46,286
47,1
48,169
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,"254,265,151,85,202,190,43,280"
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,"271,75,26,51"
74,"81,70,60,141"
75,"121,44,71"
76,78
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,"34,150"
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,"241,20,59,247,259,265,286,193,135,243"
94,"241,59,247,265,286,193,135,243"
95,1
96,1
97,"72,260,169,205,243"
98,"262,113,132,209,9"
