row_id,result
1,78
2,225
3,156
4,215
5,94
6,179
7,"189,171,267"
8,"13,6,209,51,15,130"
9,"207,76"
10,"266,115"
11,104
12,"185,240"
13,125
14,"81,1,101"
15,"184,191,281,160,35,125"
16,"184,281,217,191,160,35,125"
17,"276,170,263,215,16,112,157"
18,"128,37,45,91"
19,"57,53,179,51,128"
20,"54,103"
21,"168,241"
22,74
23,149
24,118
25,81
26,205
27,"115,21,187,17,92,243"
28,"62,205,17,145,243"
29,234
30,"77,110,112,190,205,180"
31,"166,221"
32,"128,124,206"
33,"57,183,242,210,12,188,52,247,86,252,84,228,149"
34,272
35,"168,226,128,75,121,72,217,223,198,3,44,67,255,2,246,244,104,101,245,241"
36,"276,247"
37,140
38,188
39,"208,99,5,85,42,247"
40,"50,41,235,49,140,197"
41,"191,187"
42,"179,48"
43,"64,275,37,123,207,59,265"
44,"61,142,184,281,169"
45,89
46,286
47,"21,173,166"
48,169
49,"271,108"
50,"218,183,50,176,146"
51,231
52,21
53,258
54,"52,132"
55,268
56,"114,272"
57,"48,282,183,127,50,52,225"
58,"196,87,71,106,44,258,216,77,14"
59,"254,265,151,85,202,190,43,280"
60,125
61,"218,182,267,62,207,40,30,180,4,78,111,110"
62,"77,46"
63,174
64,"198,166"
65,"53,12,75"
66,"218,50,164,181,252"
67,"170,45,145"
68,"52,190,184"
69,"41,28,127,179,129"
70,"41,193"
71,112
72,"41,49,140,158,153,235"
73,"271,75,26,51"
74,"81,70,60,141"
75,"121,44,71"
76,78
77,"26,53,80,52,34,141,241,247,176,272,170"
78,"193,155,118"
79,"168,271"
80,"218,50,164,181,252"
81,"233,195"
82,"282,49,196,162,104,106,34,258"
83,"26,57,48,49,207,220,37,132,197"
84,"179,48,282,217,180,246,150"
85,"34,150"
86,1
87,"282,62,193,34,59,265,29,195"
88,"282,62,193,34,117,59,265,29,195,231"
89,"23,49,4,72,111,177,269,112,132,149"
90,"100,192,41,179,257,48,267,207,263,180,9,214,109,101,128,78,123,171,3,44,34,213"
91,197
92,"256,282,242,196,214,109,101,27,31,199,130,283,68,98,118"
93,"241,20,59,247,259,265,286,193,135,243"
94,"241,59,247,265,286,193,135,243"
95,1
96,1
97,"72,260,169,205,243"
98,"262,113,132,209,9"
99,"233,193"
100,"166,89,54,233"
