row_id,result
1,78
2,225
3,156
4,215
5,94
6,179
7,"171,267,189"
8,"15,130,209,51,6,13"
9,"259,230,141,76,239,240,238,32,159,151,87,173,133,43,56,207,49,113,121,266,167,106"
10,"93,115,184,266,208"
11,104
12,"240,185"
13,125
14,"101,1,81"
15,"125,35,10,34,160,248,281,217,191,269,184"
16,"125,35,10,34,160,248,281,217,191,184"
17,"3,157,112,16,215,263,170,276"
18,"91,45,128,37"
19,1
20,"103,54"
21,"265,241,245,136,233,90,22,252,23,268,168"
22,"283,130,74,127,225,260,199,79,75,69"
23,"118,108,57,177,183,149,204,173,202,153,154"
24,118
25,"118,55,131,7,94,277,262,81,216"
26,"193,265,59,98,93,255,34,205,155,127,62,274,124,133,165,252,191,177,4,113,195,117,29,231,282,69,226,25,150,243,20,240,91,58,258"
27,"243,92,17,187,21,115"
28,"243,145,17,205,62,4"
29,234
30,1
31,"166,221"
32,"206,128,171,1"
33,"247,118,158,202,173,21,204,242"
34,"279,211,140,217,121,284,272,15,283,244,58,154,153,166,149,28"
35,"217,121"
36,"247,276"
37,"259,152,40,159,27,248,90,253,140,30,270,137,123,78,174,77,1,25,278,78,271"
38,188
39,"247,42,34,203,145,160,85,5,99,73"
40,1
41,"187,191"
42,"48,179"
43,"265,59,207,123,37,275,64"
44,"88,169,163,281,142,61"
45,89
46,286
47,"166,173,21"
48,"243,91,205,85,169,260,262"
49,"271,108"
50,"146,183,176,218,50"
51,231
52,21
53,258
54,"132,52"
55,268
56,"114,272"
57,153
58,"196,87,71,106,44,258,216,77,14"
59,"254,265,151,85,202,190,43,280"
60,125
61,"78,156,123,137,257,270,48,282,148,199,231,284,251,29,121,170,142,231,284,251,29,121,170,142,231"
62,"227,1,226,46,83,234,77,69,80"
63,174
64,"166,198"
65,1
66,"165,181,252,164,218,50"
67,"45,170,74,145,127,169,225,142,121"
68,1
69,"41,28,127,179,129"
70,"119,117,235,86,149,197"
71,112
72,"41,49,140,158,153,235"
73,"51,124,26,75,271"
74,"141,60,70,81"
75,"71,120,44,121"
76,"78,145"
77,"82,155,153,89,52,26,95,25"
78,"193,118,155,140,121,284"
79,"168,271"
80,"218,50,164,181,252"
81,124
82,1
83,"193,265,59,98,93,34,205,155,127,62,274"
84,"205,29,231,226,188,217"
85,1
86,63
87,1
88,1
89,"282,148,199,231,184"
90,"209,51,13,275"
91,"231,197,182,50"
92,"68,199,148,231"
93,"241,20,59,247,259,265,286,193,135,243"
94,"241,59,247,265,286,193,135,243"
95,"157,100"
96,"159,201"
97,"243,205,169,260,72"
98,"9,209,132,113,150,262"
99,"193,233,235"
100,"54,233,166,89,279,235"
