row_id,result
1,78
2,225
3,156
4,1
5,94
6,179
7,"267,189"
8,"51,209,6,130,13"
9,"207,76"
10,"115,184,266"
11,104
12,"185,240"
13,"197,125"
14,"101,1,81"
15,"34,269,281,160,10,125,184,191,248,35"
16,"217,34,281,160,10,125,184,191,35"
17,"215,170,276"
18,"128,37,45,91"
19,"57,53,179,62,51,220,162,222"
20,"54,103"
21,"241,168"
22,74
23,149
24,118
25,81
26,"34,205"
27,"115,21,92,243,17,187"
28,"62,4,243,145"
29,234
30,"180,110,77,190,17"
31,"166,221"
32,"128,34,124,206"
33,"57,183,242,210,111,52,247,12,188,73,174,21,86,252,84,228,149"
34,272
35,"217,2,246,104,101,128,72,198,3,44,245,241,168,226,75,121,223,67"
36,"72,71,247,276"
37,140
38,"96,107"
39,"247,5,145"
40,"49,50,140,197,235"
41,"191,187"
42,48
43,"207,123,275,37,59,265,64"
44,"61,281,169,88,184,142"
45,89
46,1
47,"21,173,166"
48,169
49,"271,108"
50,"218,183,50,176,146"
51,231
52,21
53,258
54,"52,132"
55,268
56,"134,49,115,180,9,40,42,101,193,272,61,137"
57,"48,282,183,162"
58,"196,87,71,106,44,258,216,77,14"
59,"232,43,190,202,151,254,265,85"
60,125
61,"218,182,267,62,207,131,40,30,171,78,4,111,110"
62,"182,57,179,257,48,49,28,50,4,210,135"
63,174
64,"198,166"
65,"53,12,75"
66,"218,50,164,181,252"
67,"170,45,145"
68,"52,190,184"
69,"41,28,127,129"
70,"41,193"
71,112
72,"182,26,41,49"
73,"26,51,179,284,271,52,261,75,253,0"
74,"141,70,60,81"
75,"71,44,155,121"
76,"182,192,53,183,263,62,209,27,168"
77,"26,52,25,153,82"
78,"193,155,118"
79,"168,271"
80,"218,50,164,181,252"
81,"233,195"
82,"162,258,31,106,51,196,127,11,104,34,178"
83,"26,48,57,41,49,207,220,40,106,132,197"
84,"217,180,71,193,34,150,146,76"
85,"179,48,127,246,4,34,150,25,117,124,274,255,59,265,29,195,177,191,133,113"
86,"128,37,170,132,45"
87,"284,282,127,180,34,213,200,216,262,150,188,208"
88,284
89,"23,49,115,4,72,111,110,52,200,216,39,262,278,277"
90,"100,192,267,207,263,229,232,264"
91,"26,57,48,207,220,40,106,128,52,25,37,137,74,76,64,45,82,91"
92,"217,220,180,225"
93,"193,247,59,265,286,243,20,259"
94,"193,241,247,135,59,265,286,243"
95,1
96,1
97,"72,260,169,243"
98,"209,9,262,150,132,113"
99,"193,233,235"
100,"89,166,233,54,235"
