row_id,result
1,78
2,225
3,156
4,1
5,94
6,179
7,"267,189"
8,"51,209,6,130,13"
9,"207,76"
10,"115,184,266"
11,104
12,"185,240"
13,"197,125"
14,"101,1,81"
15,"34,269,281,160,10,125,184,191,248,35"
16,"217,34,281,160,10,125,184,191,35"
17,"263,215,170,112,276"
18,"128,37,45,91"
19,1
20,"54,103"
21,"241,168"
22,74
23,149
24,118
25,1
26,"34,205"
27,"115,21,92,243,17,187"
28,"62,4,243,145"
29,234
30,"180,110,77,112,190,205"
31,"166,221"
32,"128,34,124,206"
33,1
34,272
35,217
36,"72,276"
37,140
38,188
39,"247,73,5,145"
40,"49,50,140,197,235"
41,26
42,26
43,26
44,1
45,89
46,1
47,21
48,1
49,"271,108"
50,"218,183,50,176,146"
51,231
52,21
53,1
54,1
55,1
56,1
57,1
58,1
59,"232,43,151,254"
60,125
61,1
62,1
63,1
64,"198,166"
65,"53,12,75"
66,"218,50,164,181,252"
67,"170,45,145"
68,"52,190,184"
69,"41,28,127"
70,"119,117,197,235,86,149"
71,"218,257,9,78,30,185,27,31,184,281,112,274,197,125"
72,1
73,1
74,"141,70,60,81"
75,"71,44,155,121"
76,"26,256"
77,1
78,"193,155,118"
79,"168,271"
80,"218,50,164,181,252"
81,"233,195"
82,1
83,1
84,1
85,"179,48,282,62,127,246,4,34,150,25,226,117,124,274"
86,"128,37,170,132,45"
87,"282,62,193,34,117,59,265,29,195,231"
88,"282,62,193,34,117,59,265,29,195,231"
89,"115,111,110,52,112,190,132"
90,"100,192,267,207,263,171,95,250,178,285,229"
91,1
92,1
93,"193,247,59,286,243,20,259"
94,"193,241,247,135,59,265,286,243"
95,1
96,1
97,"72,260,243"
98,"209,9,262,150,132,113"
99,"193,233,235"
100,"89,166,233,54,235"
