row_id,result
1,78
2,"35,236,199,148"
3,"87,35,61,10,83"
4,215
5,263
6,"52,35,263,168,1,175"
7,267
8,13
9,220
10,"1"
11,"199,184,129,74"
12,"35,199,10,56,78"
13,252
14,35
15,35
16,"35,10"
17,"217,61"
18,"165,48,263"
19,"140,35,52,132"
20,54
21,"35,272"
22,"74,127,199"
23,"164,10,255,104"
24,118
25,"1"
26,"1"
27,115
28,"35,125,115"
29,"35,128"
30,138
31,35
32,"35,206"
33,10
34,"1"
35,217
36,263
37,10
38,10
39,42
40,"10,273,52"
41,52
42,"282,273"
43,"35,236,116"
44,61
45,1
46,"165,13"
47,"1"
48,45
49,"175,50,119"
50,146
51,"282,134,102,199,118,68"
52,"283,118,68"
53,"1"
54,74
55,123
56,"114,272,92"
57,279
58,112
59,"1"
60,104
61,"270,35"
62,"28,98,140,246,45"
63,276
64,"123,35,10,220"
65,53
66,"164,252,50"
67,45
68,"52,10"
69,"252,264"
70,"1"
71,"35,104"
72,42
73,"1"
74,"215,28,30"
75,"10,35,87"
76,"244,263,95,36,237"
77,"247,272"
78,"88,67,118,61,140"
79,168
80,"164,252"
81,"140,30"
82,260
83,269
84,"118,10"
85,35
86,87
87,10
88,"87,148,13,10"
89,"52,132"
90,"264,263,171"
91,"118,214,283,68"
92,"283,118"
93,"10,199,282,35,247"
94,"282,134,102,199"
95,"35,236,116,10,273"
96,"52,10,273"
97,"92,243"
98,"10,35,52"
99,235
100,233
